filename,score,total generations,total time,efficiency (gen/min),perplexity score,relevant generations,percent of relevant generations generated,wasted generations,parser
final_test\keyword_filter_generate-falcon-7b-instruct-html-0.txt,0.41,170,483.74,21.085707198081614,137.64,38,0.8444444444444444,132,html
final_test\keyword_filter_generate-falcon-7b-instruct-html-1.txt,0.23,170,726.37,14.042430166444099,74.53,41,0.9111111111111111,129,html
final_test\keyword_filter_generate-falcon-7b-instruct-html-2.txt,0.19,170,1092.94,9.332625761706955,60.96,46,1.0222222222222221,124,html
final_test\keyword_filter_generate-galactica-1.3b-html-0.txt,0.36,170,96.62,105.5682053405092,6.49,27,0.6,143,html
final_test\keyword_filter_generate-galactica-1.3b-html-1.txt,0.44,170,97.62,104.48678549477566,18.48,49,1.0888888888888888,121,html
final_test\keyword_filter_generate-galactica-1.3b-html-2.txt,0.44,170,100.24,101.75578611332803,21.25,45,1.0,125,html
final_test\keyword_filter_generate-galactica-6.7b-html-0.txt,0.38,170,940.84,10.841375791845586,94.3,46,1.0222222222222221,124,html
final_test\keyword_filter_generate-galactica-6.7b-html-1.txt,0.39,170,1076.0,9.479553903345725,21.25,47,1.0444444444444445,123,html
final_test\keyword_filter_generate-galactica-6.7b-html-2.txt,0.38,170,1072.59,9.50969149442005,21.74,37,0.8222222222222222,133,html
final_test\keyword_filter_generate-Llama-2-13b-hf-html-0.txt,0.51,170,1286.85,7.926331740296073,9.06,48,1.0666666666666667,122,html
final_test\keyword_filter_generate-Llama-2-13b-hf-html-1.txt,0.58,170,1308.86,7.793041272557799,20.93,57,1.2666666666666666,113,html
final_test\keyword_filter_generate-Llama-2-13b-hf-html-2.txt,0.64,170,1345.24,7.5822901489697,27.06,56,1.2444444444444445,114,html
final_test\keyword_filter_generate-Llama-2-7b-hf-html-0.txt,0.33,170,1212.82,8.410151547632791,10.27,44,0.9777777777777777,126,html
final_test\keyword_filter_generate-Llama-2-7b-hf-html-1.txt,0.47,170,1213.5,8.405438813349816,18.9,45,1.0,125,html
final_test\keyword_filter_generate-Llama-2-7b-hf-html-2.txt,0.41,170,1223.12,8.339328929295572,20.83,54,1.2,116,html
final_test\keyword_model_check_generate-falcon-7b-instruct-html-0.txt,0.23,85,405.19,12.586687726745478,213.57,24,0.5333333333333333,61,html
final_test\keyword_model_check_generate-falcon-7b-instruct-html-1.txt,0.2,97,538.66,10.804589165707498,89.98,30,0.6666666666666666,67,html
final_test\keyword_model_check_generate-falcon-7b-instruct-html-2.txt,0.19,112,821.86,8.176575085781034,61.94,47,1.0444444444444445,65,html
final_test\keyword_model_check_generate-galactica-1.3b-html-0.txt,0.01,66,78.26,50.6005622284692,5.31,5,0.1111111111111111,61,html
final_test\keyword_model_check_generate-galactica-1.3b-html-1.txt,0.06,83,68.92,72.2576900754498,18.19,22,0.4888888888888889,61,html
final_test\keyword_model_check_generate-galactica-1.3b-html-2.txt,0.09,69,70.23,58.9491670226399,21.57,16,0.35555555555555557,53,html
